village,num_hh,totalpop,male_pop,female_pop,hh_size
                KINTO AGUE ,138,760,354,406,5.5
                KINTO DOKPAKPA ,310,1 713 ,846,867,5.5
                KINTO OUDJRA ,229,1 285 ,634,651,5.6
                ZOUNGOMEY ,111,692,324,368,6.2
            ARROND: DEKANMEY ,1 276 ,6 617 ,3 333 ,3 284 ,5.2
                AKPAFE ,195,932,477,455,4.8
                ASSAKOMEY ,548,2 828 ,1 386 ,1 442 ,5.2
                DJEKPE ,533,2 857 ,1 470 ,1 387 ,5.4
            ARROND: GANVIE I ,3 361 ,19 155 ,9 926 ,9 229 ,5.7
                AGONMEKOMEY ,374,1 950 ,1 066 ,884,5.2
                AGOUNDANKOMEY ,537,2 890 ,1 553 ,1 337 ,5.4
                KPASSIKOMEY ,213,1 260 ,656,604,5.9
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                SOKOMEY ,2 040 ,12 155 ,6 205 ,5 950 ,6
                TOHOKOMEY ,197,900,446,454,4.6
            ARROND: GANVIE II ,2 926 ,18 017 ,9 289 ,8 728 ,6.2
                AGBINGAMEY ,225,1 257 ,622,635,5.6
                AHOUANMONGAHO ,255,1 567 ,837,730,6.1
                DAKOMEY ,1 531 ,9 451 ,4 885 ,4 566 ,6.2
                DOSSOU GAO ,178,1 130 ,569,561,6.3
                GOUNSOEGBAMEY ,288,1 789 ,938,851,6.2
                GUEDEVIE ,449,2 823 ,1 438 ,1 385 ,6.3
            ARROND: HOUEDO-AGUEKON ,3 460 ,20 909 ,10 513 ,10 396 ,6
                DOMEGUEDJI ,766,4 610 ,2 298 ,2 312 ,6
                GANVIECOMEY ,594,3 397 ,1 691 ,1 706 ,5.7
                GBEGBOME HOUEKEKOME ,351,2 182 ,1 068 ,1 114 ,6.2
                GBEGODO ,689,4 159 ,2 060 ,2 099 ,6
                GBESSOU ,468,3 140 ,1 645 ,1 495 ,6.7
                SOKOMEY ,592,3 421 ,1 751 ,1 670 ,5.8
            ARROND: VEKKY ,5 147 ,29 476 ,14 849 ,14 627 ,5.7
                GBETIGAO ,530,2 950 ,1 479 ,1 471 ,5.6
                HLOUAZOUMEY ,576,3 322 ,1 673 ,1 649 ,5.8
                HOUNHOUE ,349,1 842 ,950,892,5.3
                KPACOMEY ,488,2 661 ,1 357 ,1 304 ,5.5
                LOKPODJI ,165,960,479,481,5.8
                NONHOUETO ,344,2 092 ,1 036 ,1 056 ,6.1
                SOMAI ,769,4 267 ,2 202 ,2 065 ,5.5
                TCHINANCOMEY ,379,2 126 ,1 035 ,1 091 ,5.6
                TODO ,463,2 652 ,1 314 ,1 338 ,5.7
                VEKKY DAHO ,385,2 520 ,1 310 ,1 210 ,6.5
                VEKKY DOGBODJI ,316,1 949 ,944,1 005 ,6.2
                ZOUNHOMEY ,383,2 135 ,1 070 ,1 065 ,5.6
            ARROND: SO-AVA ,2 151 ,13 347 ,6 623 ,6 724 ,6.2
                AHOMEY GBEKPA ,630,3 568 ,1 744 ,1 824 ,5.7
                AHOMEY GLON ,613,4 086 ,1 961 ,2 125 ,6.7
                DOGODO ,455,2 886 ,1 436 ,1 450 ,6.3
                SINDOMEY ,453,2 807 ,1 482 ,1 325 ,6.2
        COM: TOFFO ,20 142 ,101 585 ,49 068 ,52 517 ,5
            ARROND: AGUE ,1 347 ,6 230 ,3 021 ,3 209 ,4.6
                AGUE CENTRE ,478,2 075 ,978,1 097 ,4.3
                HOUEGLE ,305,1 589 ,807,782,5.2
                KINZOUN ,111,551,247,304,5
                NIANRI ,227,1 002 ,514,488,4.4
                SEDJE ,123,497,227,270,4
                TAKON ,103,516,248,268,5
            ARROND: COLLI-AGBAME ,2 198 ,11 318 ,5 350 ,5 968 ,5.1
                AGBAME ,516,2 473 ,1 187 ,1 286 ,4.8
                BOSSOUVI ,1 280 ,6 377 ,2 961 ,3 416 ,5
                DOGOUDO ,402,2 468 ,1 202 ,1 266 ,6.1
            ARROND: COUSSI ,3 044 ,16 395 ,8 012 ,8 383 ,5.4
                ABOLOU ,483,3 010 ,1 472 ,1 538 ,6.2
                ADJAHO ,373,1 677 ,809,868,4.5
                AGAGA ,73,292,131,161,4
                AGBAGA ,142,1 031 ,544,487,7.3
                AHOGBEME ,218,1 161 ,554,607,5.3
                DOWA ,149,821,415,406,5.5
                HONLY ,254,1 633 ,771,862,6.4
                KASSAGBO ,325,1 638 ,819,819,5
                ZA ,179,833,423,410,4.7
                ZINBENOU ,473,2 240 ,1 071 ,1 169 ,4.7
                AGBLOME ,375,2 059 ,1 003 ,1 056 ,5.5
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
            ARROND: DAME ,2 778 ,14 987 ,7 251 ,7 736 ,5.4
                AGBOTAGON ,566,2 887 ,1 377 ,1 510 ,5.1
                AGON ,1 178 ,6 361 ,3 119 ,3 242 ,5.4
                DAME CENTRE ,582,3 123 ,1 476 ,1 647 ,5.4
                DOLVI ,452,2 616 ,1 279 ,1 337 ,5.8
            ARROND: DJANGLANME ,1 286 ,6 889 ,3 296 ,3 593 ,5.4
                DAME I ,83,470,236,234,5.7
                DAME II ,54,312,144,168,5.8
                HOUNGO-GOVE ,264,1 461 ,716,745,5.5
                KPOKPA ,148,690,345,345,4.7
                TOGOUDO ,125,705,339,366,5.6
                TOGOUN ,416,2 292 ,1 046 ,1 246 ,5.5
                ZOUNDJI ,196,959,470,489,4.9
            ARROND: HOUEGBO ,2 110 ,9 829 ,4 794 ,5 035 ,4.7
                AKPE ,242,1 471 ,734,737,6.1
                HOUEGBO TOHOME ,931,4 086 ,1 985 ,2 101 ,4.4
                HOUEGBO GARE ,937,4 272 ,2 075 ,2 197 ,4.6
            ARROND: KPOME ,1 375 ,7 044 ,3 423 ,3 621 ,5.1
                ADJIDO ,179,850,439,411,4.7
                AZONME ,483,2 706 ,1 324 ,1 382 ,5.6
                GANGON (DOME) ,532,2 533 ,1 225 ,1 308 ,4.8
                GANME ,181,955,435,520,5.3
            ARROND: SE ,1 215 ,5 689 ,2 796 ,2 893 ,4.7
                AGAHOUNKPOKON ,118,564,274,290,4.8
                AHLANKPA ,37,170,87,83,4.6
                AVISSA ,473,2 267 ,1 087 ,1 180 ,4.8
                AYAHONOU ,303,1 446 ,743,703,4.8
                AZONSA ,103,449,216,233,4.4
                LANWONNOU ,181,793,389,404,4.4
            ARROND: SEHOUE ,3 544 ,16 439 ,7 852 ,8 587 ,4.6
                ACLONME ,803,3 808 ,1 817 ,1 991 ,4.7
                AGAGA ,461,2 060 ,1 014 ,1 046 ,4.5
                AGBOZOUNKPA ,1 064 ,5 140 ,2 447 ,2 693 ,4.8
                AKLISSA ,551,2 602 ,1 254 ,1 348 ,4.7
                FANDJI ,308,1 297 ,592,705,4.2
                SOME (CODJIAHOUE) ,357,1 532 ,728,804,4.3
            ARROND: TOFFO-AGUE ,1 245 ,6 765 ,3 273 ,3 492 ,5.4
                GOMEY ,223,1 223 ,590,633,5.5
                HOUNNOUVIE ,57,448,215,233,7.9
                SEDJI ,302,1 270 ,614,656,4.2
                TOFFO GARE (GBAFLESSA) ,295,1 819 ,879,940,6.2
                ZEKO ,368,2 005 ,975,1 030 ,5.4
        COM: TORI-BOSSITO ,11 879 ,57 632 ,28 284 ,29 348 ,4.9
            ARROND: AVAME ,1 123 ,5 351 ,2 671 ,2 680 ,4.8
                AVAME CENTRE (GBATO) ,363,1 749 ,882,867,4.8
                GBEDJOUGO ,296,1 359 ,688,671,4.6
                HLA ,168,796,395,401,4.7
                HOUNGO ,296,1 447 ,706,741,4.9
            ARROND: AZOHOUE-ALIHO ,793,3 915 ,1 932 ,1 983 ,4.9
                DENOU (AZOHOUE) ,376,1 593 ,789,804,4.2
                HAYAKPA ,170,813,388,425,4.8
                TANDAHOTA ,247,1 509 ,755,754,6.1
            ARROND: AZOHOUE-CADA ,1 593 ,8 543 ,4 219 ,4 324 ,5.4
                HOUNGO ,174,1 068 ,543,525,6.1
                CADA II ,310,1 768 ,873,895,5.7
                AZONGO ,185,1 047 ,515,532,5.7
                KETESSA AGLADJI ,205,987,475,512,4.8
                SATRE ,390,1 834 ,870,964,4.7
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                ZONGBOME ,118,604,294,310,5.1
                ZOUNVESSEHOU ,211,1 235 ,649,586,5.9
            ARROND: TORI-CADA ,3 068 ,15 729 ,7 839 ,7 890 ,5.1
                ANAVIE ,344,1 631 ,822,809,4.7
                DOHINONKO ,348,1 637 ,798,839,4.7
                DOKANME ,125,630,306,324,5
                GBEGOUDO ,125,667,360,307,5.3
                GBETAGA ,236,1 265 ,599,666,5.4
                GBOHOUE ,152,831,405,426,5.5
                HOUEDAGA ,150,556,302,254,3.7
                LOKOSSA ,131,778,385,393,5.9
                SOGBE ,279,2 091 ,1 015 ,1 076 ,7.5
                SOKLOGBO ,179,766,393,373,4.3
                TORI CADA ,361,1 857 ,930,927,5.1
                ZEBE ,308,1 605 ,818,787,5.2
                ZOUNGOUDO ,330,1 415 ,706,709,4.3
            ARROND: TORI-GARE ,2 098 ,9 250 ,4 473 ,4 777 ,4.4
                AGAZOUN ,125,555,277,278,4.4
                AGOUAKO ,436,1 904 ,945,959,4.4
                AKADJAME ,117,483,220,263,4.1
                AYIKINKO ,210,970,486,484,4.6
                DOSSOU-SOME ,87,460,243,217,5.3
                GBEGOUDO ,272,1 113 ,526,587,4.1
                TORI-GARE ,851,3 765 ,1 776 ,1 989 ,4.4
            ARROND: TORI-BOSSITO ,3 204 ,14 844 ,7 150 ,7 694 ,4.6
                AYIDOHOUE ,311,1 750 ,820,930,5.6
                GBOVIE ,232,899,432,467,3.9
                HEKINDJI I ,178,810,374,436,4.6
                HEKANDJI II ,156,612,288,324,3.9
                HONVIE ,344,1 729 ,867,862,5
                HOUNGBAGBA ,224,1 121 ,579,542,5
                MAGUEVIE ,164,736,350,386,4.5
                TOCOLI ,257,1 214 ,571,643,4.7
                TOGOUDO ,136,645,299,346,4.7
                TORI BOSSITO I ,469,1 969 ,983,986,4.2
                TORI BOSSITO II ,362,1 353 ,614,739,3.7
                WANHO ,146,751,363,388,5.1
                ZOUNME ,225,1 255 ,610,645,5.6
        COM: ZE ,19 224 ,106 913 ,51 704 ,55 209 ,5.6
            ARROND: ADJAN ,1 321 ,7 367 ,3 593 ,3 774 ,5.6
                ADJAN CENTRE ,389,1 839 ,911,928,4.7
                ANAGBO ,196,1 169 ,540,629,6
                DODJI AGA ,62,350,175,175,5.6
                HOUETA ,212,1 060 ,506,554,5
                TANTA ,320,1 932 ,943,989,6
                ZANZOUN ,142,1 017 ,518,499,7.2
            ARROND: DAWE ,1 105 ,5 431 ,2 611 ,2 820 ,4.9
                AHOUALI ,101,484,229,255,4.8
                AKADJAME ,161,773,398,375,4.8
                DAWE CENTRE ,380,1 922 ,886,1 036 ,5.1
                DOME SEKO ,463,2 252 ,1 098 ,1 154 ,4.9
            ARROND: DJIGBE ,836,4 272 ,2 060 ,2 212 ,5.1
                AGOUNDJI ,196,1 076 ,531,545,5.5
                DJIGBE AGUE ,286,1 559 ,727,832,5.5
                DJIGBE-GBODJE ,124,557,263,294,4.5
                SESSEVALI ,116,578,283,295,5
                WO-TOGOUDO ,114,502,256,246,4.4
            ARROND: DODJI-BATA ,2 530 ,13 362 ,6 342 ,7 020 ,5.3
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                ADJAME ,237,1 222 ,596,626,5.2
                ADOHOUNSA ,281,1 507 ,697,810,5.4
                DJOKO ,175,765,357,408,4.4
                GBETO FONGBO ,419,2 349 ,1 147 ,1 202 ,5.6
                GANDAHO ,253,1 238 ,594,644,4.9
                GONFANDJI ,248,1 353 ,624,729,5.5
                HOUNTAKON ,195,1 197 ,569,628,6.1
                KPATCHAME ,247,1 386 ,642,744,5.6
                WANCON ,475,2 345 ,1 116 ,1 229 ,4.9
            ARROND: HEKANME ,1 796 ,11 248 ,5 400 ,5 848 ,6.3
                AGBATA(GBOZOUNME) ,505,3 217 ,1 526 ,1 691 ,6.4
                AWOKPA ,222,1 066 ,540,526,4.8
                HEKANME ,236,1 323 ,646,677,5.6
                HEKANME HOUEHOUNTA ,302,1 823 ,869,954,6
                HOUEDOTA ,439,3 152 ,1 492 ,1 660 ,7.2
                TOGOUDO ,92,667,327,340,7.3
            ARROND: KOUNDOKPOE ,1 537 ,8 478 ,4 152 ,4 326 ,5.5
                AIFA ,455,2 568 ,1 224 ,1 344 ,5.6
                HOUEGNONKPA ,106,687,329,358,6.5
                HOUEHOUNTA-TOZOUNKPA ,113,643,327,316,5.7
                KOUNDOKPOE CENTRE ,288,1 604 ,790,814,5.6
                TANGNIGBADJI ,223,1 109 ,546,563,5
                KOUNDOKPOE(TOGBONOU) ,182,920,460,460,5.1
                WEDJAME ,170,947,476,471,5.6
            ARROND: SEDJE-DENOU ,1 486 ,8 947 ,4 235 ,4 712 ,6
                AGODENOU ,159,986,472,514,6.2
                AGUIAKPA ,165,969,467,502,5.9
                SEDJE KPOTA DODJI ,505,2 970 ,1 422 ,1 548 ,5.9
                SEDJE DENOU ,308,1 867 ,860,1 007 ,6.1
                SEDJE 2 ,268,1 558 ,737,821,5.8
                AGBOHOUNSOU ,81,597,277,320,7.4
            ARROND: SEDJE-HOUEGOUDO ,1 149 ,7 104 ,3 457 ,3 647 ,6.2
                AGLANGBIN ,162,967,472,495,6
                AHOZONNNOUDE ,188,1 028 ,522,506,5.5
                AKPOMEY ,102,620,311,309,6.1
                AYAHOUNTA FIFADDJI ,212,1 495 ,714,781,7.1
                MISSEBO ,106,707,351,356,6.7
                SEDJE HOUEGOUDO CENTRE ,379,2 287 ,1 087 ,1 200 ,6
            ARROND: TANGBO-DJEVIE ,2 655 ,14 628 ,7 050 ,7 578 ,5.5
                ADJAGO ,148,826,393,433,5.6
                AGBONDJEDO ,271,1 716 ,830,886,6.3
                ANAVIE ,140,809,385,424,5.8
                GLEGBODJI I ,537,2 655 ,1 263 ,1 392 ,4.9
                GLEGBODJI II ,289,1 441 ,717,724,5
                HOUEZE ,188,1 023 ,503,520,5.4
                TANGBO AGA ,478,2 575 ,1 231 ,1 344 ,5.4
                TANGBO DO ,313,1 873 ,888,985,6
                YEVI ,291,1 710 ,840,870,5.9
            ARROND: YOKPO ,1 681 ,9 173 ,4 494 ,4 679 ,5.5
                ADJRAKO ,126,783,381,402,6.2
                AWONSEDJA ,210,1 321 ,649,672,6.3
                HOUNLINKO ,212,1 024 ,482,542,4.8
                HOUNSAGOUDO ,188,1 029 ,529,500,5.5
                KOUDJANNADA-TOTA ,182,884,418,466,4.9
                YOKPO CENTRE ,240,1 311 ,648,663,5.5
                WAWATA-ZOUNTO ,523,2 821 ,1 387 ,1 434 ,5.4
            ARROND: ZE ,3 128 ,16 903 ,8 310 ,8 593 ,5.4
                AKPALI ,421,2 256 ,1 106 ,1 150 ,5.4
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                DOKOTA ,368,2 178 ,1 037 ,1 141 ,5.9
                GOULO ,372,2 137 ,1 040 ,1 097 ,5.7
                SODJI ,153,857,419,438,5.6
                GUEKOUMEDE ,333,2 305 ,1 131 ,1 174 ,6.9
                WAGA ,283,1 661 ,840,821,5.9
                ZE CENTRE ,1 016 ,4 699 ,2 344 ,2 355 ,4.6
                ZOUNGBOME ,182,810,393,417,4.5
 , ,,,,
DEPARTEMENT DU BORGOU,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
    DEP: BORGOU ,158 099 ,1 214 249 ,607 013 ,607 236 ,7.7
        COM: BEMBEREKE ,15 739 ,131 255 ,66 270 ,64 985 ,8.3
            ARROND: BEROUBOUAY ,1 952 ,17 068 ,8 546 ,8 522 ,8.7
                BEROUBOUAY EST ,536,4 570 ,2 237 ,2 333 ,8.5
                BEROUBOUAY OUEST ,471,4 501 ,2 242 ,2 259 ,9.6
                BEROUBOUAY PEULH ,334,2 824 ,1 435 ,1 389 ,8.5
                KABANOU ,331,2 928 ,1 506 ,1 422 ,8.8
                SOMBOUAN ,280,2 245 ,1 126 ,1 119 ,8
            ARROND: BOUANRI ,3 005 ,30 098 ,15 052 ,15 046 ,10
                MARO (BOUARI I) ,167,1 222 ,591,631,7.3
                GOUROU (BOUANRI II) ,308,2 289 ,1 153 ,1 136 ,7.4
                SONGOURA (BOUANRI III) ,306,2 763 ,1 347 ,1 416 ,9
                GANDO-BOROU ,291,3 832 ,1 851 ,1 981 ,13.2
                GUERRAN-KALI (GBEKOU) ,946,9 144 ,4 737 ,4 407 ,9.7
                GBEROU DABA ,164,1 610 ,827,783,9.8
                KASSAROU ,154,2 048 ,997,1 051 ,13.3
                SISSIGOUROU ,323,3 917 ,1 893 ,2 024 ,12.1
                TEME ,346,3 273 ,1 656 ,1 617 ,9.5
            ARROND: GAMIA ,3 706 ,30 522 ,15 075 ,15 447 ,8.2
                BOUAY ,523,4 220 ,2 070 ,2 150 ,8.1
                BOURI ,148,1 276 ,621,655,8.6
                BEREKE ,194,1 518 ,750,768,7.8
                GAMIA EST ,712,5 352 ,2 590 ,2 762 ,7.5
                GAMIA  OUEST ,640,4 540 ,2 230 ,2 310 ,7.1
                GANRO ,307,2 862 ,1 431 ,1 431 ,9.3
                GUESSOU NORD ,409,3 235 ,1 531 ,1 704 ,7.9
                KPEBERA ,412,3 697 ,1 871 ,1 826 ,9
                MANI BOKE ,214,2 144 ,1 086 ,1 058 ,10
                TINHOULE ,147,1 678 ,895,783,11.4
            ARROND: INA ,2 995 ,22 391 ,11 344 ,11 047 ,7.5
                GANDO ,285,2 963 ,1 497 ,1 466 ,10.4
                GOUA ,240,2 035 ,1 039 ,996,8.5
                GUESSOU-SUD ,708,4 840 ,2 320 ,2 520 ,6.8
                GUESSOU SUD PEULH ,115,834,455,379,7.3
                INA I ,380,3 033 ,1 520 ,1 513 ,8
                INA II ,473,3 060 ,1 644 ,1 416 ,6.5
                INA III ,574,3 732 ,1 904 ,1 828 ,6.5
                INA PEULH ,74,691,367,324,9.3
                KONOU ,146,1 203 ,598,605,8.2
            ARROND: BEMBEREKE ,4 081 ,31 176 ,16 253 ,14 923 ,7.6
                BEMBEREKE-EST ,563,4 972 ,3 195 ,1 777 ,8.8
                BEMBEREKE-OUEST ,443,2 509 ,1 259 ,1 250 ,5.7
                GANDO ,628,5 111 ,2 528 ,2 583 ,8.1
                GUERE ,460,2 530 ,1 234 ,1 296 ,5.5
                KOKABO ,353,3 287 ,1 675 ,1 612 ,9.3
                KOSSOU ,726,4 481 ,2 135 ,2 346 ,6.2
                PEDAROU ,313,2 384 ,1 198 ,1 186 ,7.6
                SAORE ,194,1 664 ,819,845,8.6
                WANRAROU ,401,4 238 ,2 210 ,2 028 ,10.6
        COM: KALALE ,17 266 ,168 882 ,84 078 ,84 804 ,9.8
            ARROND: BASSO ,1 809 ,17 474 ,8 810 ,8 664 ,9.7
                BASSO CENTRE ,832,8 296 ,4 183 ,4 113 ,10
                GAWEZI ,215,1 650 ,814,836,7.7
                GOROGAOU ,172,1 798 ,919,879,10.5
                NEGANZI ,590,5 730 ,2 894 ,2 836 ,9.7
            ARROND: BOUKA ,4 565 ,43 616 ,21 891 ,21 725 ,9.6
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                BOUKA ,951,7 553 ,3 860 ,3 693 ,7.9
                BOUKA-GANDO ,608,6 078 ,3 005 ,3 073 ,10
                BOUKA -PEULH ,75,690,337,353,9.2
                GBASSI ,140,1 549 ,798,751,11.1
                GBEROUGBASSI ,309,3 465 ,1 749 ,1 716 ,11.2
                GBESSASSI-BOUKA ,248,2 413 ,1 217 ,1 196 ,9.7
                GNELBOUKATOU ,798,7 882 ,3 951 ,3 931 ,9.9
                KOUREI ,982,9 764 ,4 880 ,4 884 ,9.9
                SEREGOUROU ,454,4 222 ,2 094 ,2 128 ,9.3
            ARROND: DERASSI ,1 936 ,19 861 ,9 789 ,10 072 ,10.3
                ALAFIAROU II ,99,1 057 ,531,526,10.7
                DERASSI ,422,4 013 ,1 990 ,2 023 ,9.5
                GUIRI GANDO ,166,2 064 ,1 015 ,1 049 ,12.4
                KAKATENIN ,357,3 501 ,1 724 ,1 777 ,9.8
                MAREGUITA ,644,6 574 ,3 224 ,3 350 ,10.2
                MATCHORE ,248,2 652 ,1 305 ,1 347 ,10.7
            ARROND: DUNKASSA ,3 191 ,29 396 ,14 590 ,14 806 ,9.2
                ALAFIAROU ,53,628,315,313,11.8
                GBESSAKPEROU ,812,6 583 ,3 298 ,3 285 ,8.1
                DANGOROU ,387,3 973 ,1 960 ,2 013 ,10.3
                DJEGA I ,445,4 993 ,2 414 ,2 579 ,11.2
                DUNKASSA ,820,6 765 ,3 398 ,3 367 ,8.3
                DUNKASSA-PEULH ,116,1 051 ,538,513,9.1
                KIRIKOUBE ,171,1 538 ,776,762,9
                OUENAGOUROU ,387,3 865 ,1 891 ,1 974 ,10
            ARROND: PEONGA ,2 007 ,23 022 ,11 288 ,11 734 ,11.5
                ANGARADEBOU ,120,1 577 ,800,777,13.1
                BAGARIA ,82,904,476,428,11
                BOA ,805,9 397 ,4 614 ,4 783 ,11.7
                BOA GANDO CENTRE ,290,3 979 ,1 914 ,2 065 ,13.7
                GANDO BAKA ,201,2 339 ,1 097 ,1 242 ,11.6
                PEONGA ,509,4 826 ,2 387 ,2 439 ,9.5
            ARROND: KALALE ,3 758 ,35 513 ,17 710 ,17 803 ,9.4
                BESSASSI ,410,3 838 ,1 930 ,1 908 ,9.4
                BESSASSI GANDO ,119,1 503 ,787,716,12.6
                DANGANZI ,394,4 121 ,2 085 ,2 036 ,10.5
                DJEGA II ,205,2 292 ,1 124 ,1 168 ,11.2
                KALALE CENTRE ,1 049 ,6 730 ,3 389 ,3 341 ,6.4
                KALALE PEULH ,582,6 668 ,3 191 ,3 477 ,11.5
                KIDAROUKPEROU ,331,3 171 ,1 576 ,1 595 ,9.6
                LOU ,232,2 474 ,1 221 ,1 253 ,10.7
                NASSIKONZI ,238,2 355 ,1 198 ,1 157 ,9.9
                ZAMBARA ,198,2 361 ,1 209 ,1 152 ,11.9
        COM: N'DALI ,14 063 ,113 604 ,57 643 ,55 961 ,8.1
            ARROND: BORI ,3 022 ,28 072 ,14 535 ,13 537 ,9.3
                BORI ,688,6 219 ,3 199 ,3 020 ,9
                MAREGOUROU ,649,6 987 ,3 665 ,3 322 ,10.8
                KORI ,399,3 639 ,1 820 ,1 819 ,9.1
                SONNOUMON ,838,7 270 ,3 789 ,3 481 ,8.7
                TEME ,448,3 957 ,2 062 ,1 895 ,8.8
            ARROND: GBEGOUROU ,1 490 ,11 612 ,5 874 ,5 738 ,7.8
                ALAFIAROU ,145,1 396 ,698,698,9.6
                BINASSI ,474,3 441 ,1 748 ,1 693 ,7.3
                DARNON ,258,1 703 ,897,806,6.6
                DOUROUBE ,141,1 185 ,579,606,8.4
                GBEGOUROU ,472,3 887 ,1 952 ,1 935 ,8.2
            ARROND: OUENOU ,2 442 ,22 291 ,11 197 ,11 094 ,9.1
                BOUYEROU ,278,2 527 ,1 271 ,1 256 ,9.1
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                OUENOU ,537,5 280 ,2 692 ,2 588 ,9.8
                OUENOU-PEULH ,303,2 750 ,1 334 ,1 416 ,9.1
                TAMAROU ,1 146 ,9 887 ,4 946 ,4 941 ,8.6
                WEREKE ,178,1 847 ,954,893,10.4
            ARROND: SIRAROU ,3 737 ,28 365 ,14 365 ,14 000 ,7.6
                BOKO ,1 143 ,7 964 ,4 012 ,3 952 ,7
                KOMIGUEA ,744,5 901 ,3 007 ,2 894 ,7.9
                SIRAROU ,1 850 ,14 500 ,7 346 ,7 154 ,7.8
            ARROND: N'DALI ,3 372 ,23 264 ,11 672 ,11 592 ,6.9
                BANHOUN ,32,207,91,116,6.5
                N'DALI PEULH ,208,1 672 ,821,851,8
                SAKAROU ,172,1 454 ,750,704,8.5
                SUANIN ,1 069 ,7 029 ,3 577 ,3 452 ,6.6
                WARI ,118,1 009 ,516,493,8.6
                WOBA KAROU ,1 773 ,11 893 ,5 917 ,5 976 ,6.7
        COM: NIKKI ,16 703 ,151 232 ,75 339 ,75 893 ,9.1
            ARROND: BIRO ,1 522 ,12 650 ,6 235 ,6 415 ,8.3
                BIRO ,696,5 290 ,2 567 ,2 723 ,7.6
                GNANHOUN ,227,1 823 ,916,907,8
                OURAROU ,154,1 499 ,731,768,9.7
                SONSONRE ,211,2 005 ,998,1 007 ,9.5
                TEBO ,234,2 033 ,1 023 ,1 010 ,8.7
            ARROND: GNONKOURAKALI ,1 449 ,13 825 ,6 998 ,6 827 ,9.5
                GBARI ,309,3 136 ,1 542 ,1 594 ,10.1
                GNONKOURAKALI ,318,2 723 ,1 428 ,1 295 ,8.6
                GUINROU ,100,883,454,429,8.8
                GUINROU PEULH ,140,1 850 ,907,943,13.2
                GUEMA ,127,1 463 ,741,722,11.5
                SOUBO ,316,2 511 ,1 295 ,1 216 ,7.9
                WOROUMAGASSAROU ,139,1 259 ,631,628,9.1
            ARROND: OUENOU ,1 641 ,17 154 ,8 544 ,8 610 ,10.5
                FOMBAOUI ,241,2 348 ,1 163 ,1 185 ,9.7
                GOTHE CENTRE ,96,1 086 ,509,577,11.3
                OUENOU NIKKI ,287,2 896 ,1 456 ,1 440 ,10.1
                LAFIAROU ,233,2 493 ,1 247 ,1 246 ,10.7
                OROUMON ,111,957,485,472,8.6
                OROUMONSI PEULH ,49,687,331,356,14
                TCHICANDOU ,228,2 042 ,1 033 ,1 009 ,9
                SANSI ,396,4 645 ,2 320 ,2 325 ,11.7
            ARROND: SEREKALE ,1 627 ,15 804 ,7 882 ,7 922 ,9.7
                GANROU BARIBA ,433,3 900 ,1 954 ,1 946 ,9
                GANROU PEULH ,249,2 603 ,1 276 ,1 327 ,10.5
                KASSAKPERE ,249,2 646 ,1 368 ,1 278 ,10.6
                OUENRA PEULH ,132,1 570 ,762,808,11.9
                SEREKALE CENTRE ,453,4 057 ,2 018 ,2 039 ,9
                SEREWONDIROU ,111,1 028 ,504,524,9.3
            ARROND: SUYA ,701,7 807 ,3 802 ,4 005 ,11.1
                CHINDAROUKPARA ,118,1 145 ,563,582,9.7
                DAROUKPARA ,128,1 735 ,839,896,13.6
                GANCHON ,129,1 593 ,763,830,12.3
                SOUMAROU ,114,1 215 ,589,626,10.7
                SUYA ,212,2 119 ,1 048 ,1 071 ,10
            ARROND: TASSO ,1 806 ,17 883 ,8 792 ,9 091 ,9.9
                CHEIN ,150,1 551 ,758,793,10.3
                DEMA ,202,1 983 ,999,984,9.8
                GBABIRE ,243,2 282 ,1 097 ,1 185 ,9.4
                GORE ,309,3 334 ,1 668 ,1 666 ,10.8
                KPEBOURABOU ,237,2 331 ,1 154 ,1 177 ,9.8
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                TANAKPE ,359,3 318 ,1 606 ,1 712 ,9.2
                TASSO ,306,3 084 ,1 510 ,1 574 ,10.1
            ARROND: NIKKI ,7 957 ,66 109 ,33 086 ,33 023 ,8.3
                BOUASSI ,226,2 298 ,1 156 ,1 142 ,10.2
                BOUKANERE ,553,6 257 ,3 139 ,3 118 ,11.3
                DANRI ,751,5 256 ,2 707 ,2 549 ,7
                GAN MARO ,1 334 ,7 918 ,3 950 ,3 968 ,5.9
                GAH MARO PEULH ,75,897,443,454,12
                GORI ,192,1 718 ,855,863,8.9
                GOUROU ,1 136 ,7 608 ,3 791 ,3 817 ,6.7
                KALI ,90,883,437,446,9.8
                KPAWOLOU ,618,4 353 ,2 092 ,2 261 ,7
                MARO ,521,3 882 ,2 033 ,1 849 ,7.5
